Date,AMBEV,ODONTOPREV,TIM,VIVO,PETROBRAS,BBRASIL,CEMIG,VALE,BOVA
2015-01-02,16.020000457763672,9.369999885559082,21.860000610351562,37.81999969482422,9.0,22.649999618530273,10.688888549804688,21.280000686645508,47.2599983215332
2015-01-05,15.729999542236328,9.619999885559082,21.209999084472656,37.06999969482422,8.270000457763672,22.18000030517578,10.413315773010254,20.959999084472656,46.31999969482422
2015-01-06,16.329999923706055,9.550000190734863,21.020000457763672,36.150001525878906,8.0600004196167,22.489999771118164,10.321457862854004,21.799999237060547,46.58000183105469
2015-01-07,16.559999465942383,9.6899995803833,21.420000076293945,37.38999938964844,8.449999809265137,23.479999542236328,10.321457862854004,22.600000381469727,48.150001525878906
2015-01-08,16.540000915527344,9.65999984741211,22.459999084472656,38.90999984741211,9.020000457763672,23.559999465942383,10.237951278686523,22.84000015258789,48.5099983215332
2015-01-09,16.5,9.869999885559082,22.360000610351562,38.290000915527344,9.289999961853027,22.540000915527344,9.878870964050293,22.350000381469727,47.529998779296875
2015-01-12,16.709999084472656,9.800000190734863,21.899999618530273,38.349998474121094,8.770000457763672,22.149999618530273,9.553194046020508,22.639999389648438,46.83000183105469
2015-01-13,16.709999084472656,10.069999694824219,22.280000686645508,39.369998931884766,8.829999923706055,22.020000457763672,9.68680477142334,22.510000228881836,46.63999938964844
2015-01-14,16.760000228881836,9.949999809265137,22.459999084472656,39.810001373291016,8.5,22.18000030517578,9.736908912658691,20.700000762939453,46.47999954223633
2015-01-15,16.790000915527344,9.65999984741211,22.639999389648438,40.5,9.25,22.040000915527344,9.928975105285645,20.940000534057617,47.0
2015-01-16,16.90999984741211,10.100000381469727,22.700000762939453,41.29999923706055,9.229999542236328,22.299999237060547,10.34650993347168,21.8799991607666,47.599998474121094
2015-01-20,16.899999618530273,10.510000228881836,22.899999618530273,41.9900016784668,8.890000343322754,22.100000381469727,9.770312309265137,21.739999771118164,46.52000045776367
2015-01-21,17.09000015258789,10.75,23.670000076293945,43.29999923706055,9.460000038146973,22.65999984741211,9.820416450500488,22.079999923706055,47.810001373291016
2015-01-22,17.280000686645508,10.350000381469727,24.3799991607666,42.900001525878906,9.8100004196167,22.850000381469727,9.87052059173584,21.90999984741211,48.119998931884766
2015-01-23,17.030000686645508,10.100000381469727,23.93000030517578,42.97999954223633,9.520000457763672,22.790000915527344,9.528141975402832,20.520000457763672,47.29999923706055
2015-01-26,16.989999771118164,10.149999618530273,23.639999389648438,41.970001220703125,9.539999961853027,22.530000686645508,9.39453125,19.579999923706055,47.189998626708984
2015-01-27,16.959999084472656,10.300000190734863,23.700000762939453,41.400001525878906,9.640000343322754,23.0,9.56989574432373,19.0,47.34000015258789
2015-01-28,17.030000686645508,10.399999618530273,23.290000915527344,42.34000015258789,8.630000114440918,22.010000228881836,9.795364379882812,18.889999389648438,46.33000183105469
2015-01-29,17.65999984741211,10.380000114440918,23.389999389648438,41.7599983215332,8.470000267028809,21.549999237060547,10.34650993347168,18.049999237060547,46.380001068115234
2015-01-30,17.690000534057617,10.350000381469727,22.06999969482422,41.0,8.039999961853027,20.65999984741211,9.945676803588867,18.610000610351562,45.61000061035156
2015-02-02,17.489999771118164,10.520000457763672,22.260000228881836,41.47999954223633,8.569999694824219,20.200000762939453,10.421666145324707,19.739999771118164,46.27000045776367
2015-02-03,17.549999237060547,10.550000190734863,22.59000015258789,42.470001220703125,9.789999961853027,20.850000381469727,10.212899208068848,20.8700008392334,47.63999938964844
2015-02-04,17.34000015258789,10.640000343322754,22.260000228881836,42.79999923706055,9.899999618530273,22.299999237060547,10.095989227294922,20.549999237060547,47.77000045776367
2015-02-05,17.739999771118164,10.600000381469727,22.350000381469727,43.4900016784668,9.65999984741211,22.790000915527344,9.912274360656738,20.450000762939453,47.880001068115234
2015-02-06,17.90999984741211,10.640000343322754,21.959999084472656,42.529998779296875,9.029999732971191,21.899999618530273,9.578246116638184,20.420000076293945,47.29999923706055
2015-02-09,18.170000076293945,10.40999984741211,21.940000534057617,41.5,9.199999809265137,22.459999084472656,9.628350257873535,21.59000015258789,47.91999816894531
2015-02-10,18.040000915527344,10.25,21.420000076293945,42.54999923706055,8.829999923706055,21.709999084472656,9.361127853393555,20.399999618530273,47.15999984741211
2015-02-11,18.040000915527344,10.0,21.610000610351562,40.959999084472656,8.850000381469727,21.950000762939453,9.427933692932129,21.100000381469727,46.95000076293945
2015-02-12,18.09000015258789,10.050000190734863,22.079999923706055,43.0,9.369999885559082,23.110000610351562,9.845467567443848,21.579999923706055,48.130001068115234
2015-02-13,18.0,10.0,22.739999771118164,43.88999938964844,9.779999732971191,24.600000381469727,9.98742961883545,22.479999542236328,49.38999938964844
2015-02-18,18.200000762939453,10.109999656677246,22.540000915527344,44.5,9.949999809265137,23.950000762939453,10.34650993347168,22.709999084472656,49.90999984741211
2015-02-19,18.229999542236328,10.149999618530273,22.399999618530273,43.7400016784668,9.640000343322754,24.350000381469727,10.296405792236328,22.100000381469727,49.79999923706055
2015-02-20,18.170000076293945,10.109999656677246,21.600000381469727,43.5,9.539999961853027,23.969999313354492,10.154443740844727,22.6200008392334,49.84000015258789
2015-02-23,18.479999542236328,10.100000381469727,20.450000762939453,43.18000030517578,9.380000114440918,23.8799991607666,10.271353721618652,21.6200008392334,49.79999923706055
2015-02-24,18.479999542236328,10.109999656677246,20.850000381469727,43.70000076293945,9.739999771118164,23.649999618530273,10.313106536865234,22.040000915527344,50.40999984741211
